index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
595,Hochheim Riesling Classic 2010,Domdechant Werner,Germany,4.0,83,"66,670",https://www.vivino.com/domdechant-wernersches-weingut-hochheim-riesling-classic/w/1163767?year=2010&price_id=14650394
596,Josephine Riesling 2023,Carrick,New Zealand,3.9,83,"34,627",https://www.vivino.com/carrick-wines-josephine-riesling/w/95041?year=2023&price_id=34771399
597,Genetin Pouilly-Fumé 2021,Tinel-Blondelet,France,4.1,83,"31,162",https://www.vivino.com/tinel-blondelet-genetin-pouilly-fume/w/1383703?year=2021&price_id=33696570
598,Nerola Blanco 2003,Familia Torres,Spain,3.4,83,"27,085",https://www.vivino.com/familia-torres-nerola-blanco/w/1254380?year=2003&price_id=2873819
599,Bianco 2016,Frus,Italy,3.9,82,"37,098",https://www.vivino.com/frus-bianco/w/6560191?year=2016&price_id=23020585
600,Portrait Dry Riesling 2014,Peter Lehmann,Australia,3.0,82,"31,252",https://www.vivino.com/peter-lehmann-portrait-dry-riesling/w/1866649?year=2014&price_id=15542125
601,Gewürztraminer Alsace Grand Cru Brand 2013,Cave de Turckheim,France,4.3,81,"75,004",https://www.vivino.com/cave-de-turckheim-gewurztraminer-alsace-grand-cru-brand/w/87967?year=2013&price_id=19160033
602,Waitaki Vineyard Chardonnay 2022,Valli,New Zealand,4.3,81,"78,334",https://www.vivino.com/valli-waitaki-vineyard-chardonnay/w/4901000?year=2022&price_id=35630994
603,Gold Label President's Selection Chardonnay 2005,Wolf Blass,Australia,3.5,81,"47,919",https://www.vivino.com/wolf-blass-gold-label-president-s-selection-chardonnay/w/2516344?year=2005&price_id=2754482
604,Sauvignon Blanc 2023,Starborough,New Zealand,3.8,81,"18,959",https://www.vivino.com/starborough-sauvignon-blanc/w/1679387?year=2023&price_id=34460465
605,Clos de Ste. Anne La Bas Chenin Blanc 2021,Millton,New Zealand,4.2,80,"86,580",https://www.vivino.com/millton-clos-de-ste-anne-la-bas-chenin-blanc/w/1674806?year=2021&price_id=32721530
606,Old Vines Chardonnay 2019,Casa Mayor,Chile,3.6,79,"20,001",https://www.vivino.com/casa-mayor-old-vines-chardonnay/w/2231146?year=2019&price_id=24449273
607,Tradition Sylvaner 2011,Michel Fonné,France,3.7,79,"32,502",https://www.vivino.com/michel-fonne-tradition-sylvaner/w/2465086?year=2011&price_id=14023246
608,Sauvignon Blanc 2019,Hans Herzog - Hans Family Estate,New Zealand,4.1,79,"46,172",https://www.vivino.com/hans-herzog-hans-family-estate-sauvignon-blanc/w/7961263?year=2019&price_id=32855508
609,Reserve Viognier 2018,Obsidian,New Zealand,3.8,79,"44,523",https://www.vivino.com/obsidian-reserve-viognier/w/2209198?year=2018&price_id=32217832
610,Meursault 'Clos des Ambres' 2013,Arnaud Ente,France,4.6,79,"1,106,750",https://www.vivino.com/arnaud-ente-meursault-clos-des-ambres/w/1100482?year=2013&price_id=36831582
611,Tiritiri Pinot Gris 2023,Neudorf Vineyards,New Zealand,4.1,78,"22,257",https://www.vivino.com/neudorf-tiritiri-pinot-gris/w/8451302?year=2023&price_id=35639569
612,Chardonnay 2022,Dry River,Australia,3.5,77,"62,665",https://www.vivino.com/weingut-philipp-lauter-erben-chardonnay/w/1106018?year=2022&price_id=35639566
613,Frais et Plaisant Blanc 2011,Baron d'Arignac,France,3.1,77,"14,584",https://www.vivino.com/baron-d-arignac-frais-et-plaisant-blanc/w/2467489?year=2011&price_id=7943988
614,Chardonnay 2023,Black Barn,New Zealand,3.7,76,"23,907",https://www.vivino.com/black-barn-chardonnay/w/6709991?year=2023&price_id=35488248
615,Pinot Gris 2022,Prophet's Rock,New Zealand,4.3,75,"31,329",https://www.vivino.com/prophet-s-rock-pinot-gris/w/2426675?year=2022&price_id=34207227
616,Les Clos Chablís Grand Cru 2018,Vincent Dauvissat,France,4.6,75,"593,567",https://www.vivino.com/vincent-dauvissat-les-clos-chablis-grand-cru/w/1974097?year=2018&price_id=31731703
617,Riesling Kabinett Trocken 2005,Joh. Jos. Prüm,Germany,4.0,74,"73,337",https://www.vivino.com/joh-jos-prum-riesling-kabinett-trocken/w/2483978?year=2005&price_id=14541256
618,Les Clos Chablís Grand Cru 2006,Vincent Dauvissat,France,4.4,74,"562,657",https://www.vivino.com/vincent-dauvissat-les-clos-chablis-grand-cru/w/1974097?year=2006&price_id=35573202
619,Bin 311 Chardonnay 2021,Penfolds,Australia,3.8,74,"75,004",https://www.vivino.com/penfolds-bin-311-chardonnay/w/1249?year=2021&price_id=30195057
620,Gewürztraminer Alsace Grand Cru 'Marckrain' 2013,Michel Fonné,France,3.9,74,"97,505",https://www.vivino.com/michel-fonne-gewurztraminer-alsace-grand-cru-marckrain/w/2032600?year=2013&price_id=16835273
621,Symposium 2023,Domain Road Vineyard,New Zealand,4.3,73,"27,205",https://www.vivino.com/domain-road-symposium/w/6991119?year=2023&price_id=36463751
622,Chardonnay 2008,Fallbrook,United States,3.7,72,"25,835",https://www.vivino.com/fallbrook-winery-chardonnay/w/1989475?year=2008&price_id=2873792
623,Sauvignon Blanc 2023,Kimura Cellars,New Zealand,3.8,72,"20,608",https://www.vivino.com/kimura-cellars-sauvignon-blanc/w/1530663?year=2023&price_id=34540051
624,Premiat Dry Riesling 2011,Jidvei,Romania,3.2,72,"27,085",https://www.vivino.com/jidvei-premiat-dry-riesling/w/2194587?year=2011&price_id=14650424
625,Montagny 1er Cru 'Les Coères' 2022,Domaine Feuillat-Juillot,France,4.2,71,"41,550",https://www.vivino.com/feuillat-juillot-montagny-1er-cru-les-coeres/w/1385386?year=2022&price_id=35345629
626,Grüner Veltliner 2003,House of Hafner Family Estate,Austria,3.3,71,"41,669",https://www.vivino.com/hafner-weiber-burgunder/w/1581266?year=2003&price_id=14650551
627,Grüner Veltliner 2004,House of Hafner Family Estate,Austria,3.3,71,"20,834",https://www.vivino.com/hafner-weiber-burgunder/w/1581266?year=2004&price_id=2895218
628,Les Preuses Chablís Grand Cru 2008,Vincent Dauvissat,France,4.4,70,"615,826",https://www.vivino.com/vincent-dauvissat-les-preuses-chablis-grand-cru/w/1707497?year=2008&price_id=30768089
629,Jesera Pinot Grigio 2022,Venica & Venica,Italy,4.0,70,"39,472",https://www.vivino.com/venica-venica-jesera-pinot-grigio/w/91004?year=2022&price_id=36485567
630,Loibner Klostersatz Grüner Veltliner Federspiel 2013,F.X. Pichler,Austria,3.7,70,"75,004",https://www.vivino.com/f-x-pichler-loibner-klostersatz-gruner-veltliner-federspiel/w/1272378?year=2013&price_id=14650439
631,Sauvignon Blanc 2013,Little Beauty,New Zealand,4.2,69,"64,587",https://www.vivino.com/little-beauty-sauvignon-blanc/w/1758778?year=2013&price_id=15466425
632,Sauvignon - Sémillon 2020,Pegasus Bay,New Zealand,3.8,69,"28,030",https://www.vivino.com/pegasus-bay-winery-sauvignon-semillon/w/16114?year=2020&price_id=33193568
633,Passetto Trebbiano - Chardonnay Marche 2010,Umani Ronchi,Italy,3.3,68,"22,085",https://www.vivino.com/umani-ronchi-passetto-trebbiano-chardonnay-marche/w/3499?year=2010&price_id=2804695
634,Southern Clays Vineyard Single Vineyard Sauvignon Blanc 2020,Villa Maria,New Zealand,4.0,68,"24,731",https://www.vivino.com/villa-maria-auckland-southern-clays-vineyard-single-vineyard-sauvignon-blanc/w/1273885?year=2020&price_id=30069532
635,Crozes-Hermitage Blanc 2021,Pradelle,France,3.6,68,"31,162",https://www.vivino.com/pradelle-crozes-hermitage-blanc/w/5392591?year=2021&price_id=33741510
636,Vermentino (Etichetta Grigia/Grey Label) 2022,Lunae,Italy,3.9,68,"21,814",https://www.vivino.com/lunae-liguria-vermentino-etichetta-grigia-grey-label/w/1145850?year=2022&price_id=36485616
637,Hermitage Le Chevalier de Sterimberg 2007,Domaine de La Chapelle,France,4.1,67,"160,753",https://www.vivino.com/domaine-de-la-chapelle-rhone-hermitage-le-chevalier-de-sterimberg/w/10925?year=2007&price_id=20661968
638,Proprietor's Reserve Sauvignon Blanc 2022,Coal Pit,New Zealand,4.0,67,"37,101",https://www.vivino.com/coal-pit-proprietor-s-reserve-sauvignon-blanc/w/7201364?year=2022&price_id=33683757
639,Proprietor's Reserve Sauvignon Blanc 2023,Coal Pit,New Zealand,4.0,67,"37,101",https://www.vivino.com/coal-pit-proprietor-s-reserve-sauvignon-blanc/w/7201364?year=2023&price_id=36363007
640,Airstrip White Blend 2005,Mitchelton,Australia,3.7,67,"50,419",https://www.vivino.com/mitchelton-airstrip-white-blend/w/1451011?year=2005&price_id=2895258
641,Maté's Vineyard Chardonnay 2022,Kumeu River,New Zealand,4.3,67,"86,580",https://www.vivino.com/kumeu-river-winery-mate-s-vineyard-chardonnay/w/76132?year=2022&price_id=33564985
642,Monopole Bordeaux Blanc 2010,Kressmann,France,3.2,66,"20,834",https://www.vivino.com/kressmann-monopole-bordeaux-blanc/w/1614548?year=2010&price_id=7953574
643,Minus Five Riesling 2007,Argyle,United States,4.1,65,"60,420",https://www.vivino.com/argyle-minus-five-riesling/w/6417?year=2007&price_id=14650427
644,Sancerre Blanc 2010,Lucien Crochet,France,3.9,65,"58,337",https://www.vivino.com/lucien-crochet-sancerre-blanc/w/16678?year=2010&price_id=14650461
645,Holdaway Vineyard Sauvignon Blanc 2023,Blank Canvas,New Zealand,4.1,65,"24,731",https://www.vivino.com/blank-canvas-nz-holdaway-vineyard-sauvignon-blanc-marlborough-white-wine/w/10809175?year=2023&price_id=33209297
646,Riesling Kabinett 2018,Kessler-Zink,Germany,3.8,64,"24,168",https://www.vivino.com/kessler-zink-riesling-kabinett/w/3172902?year=2018&price_id=23130037
647,La Solatia Chardonnay 1998,Ruffino,Italy,3.8,64,"104,172",https://www.vivino.com/ruffino-la-solatia-chardonnay/w/1499586?year=1998&price_id=2804582
648,School House Pinot Gris 2022,Gibbston Valley,New Zealand,3.9,64,"34,627",https://www.vivino.com/gibbston-valley-school-house-pinot-gris-gac11/w/6569347?year=2022&price_id=35488246
649,School House Pinot Gris 2021,Gibbston Valley,New Zealand,3.9,64,"34,627",https://www.vivino.com/gibbston-valley-school-house-pinot-gris-gac11/w/6569347?year=2021&price_id=30069528
650,Marius Unico Blanco 2012,Bodegas Piqueras,Spain,4.1,64,"33,335",https://www.vivino.com/bodegas-piqueras-sa-marius-unico-blanco/w/5294970?year=2012&price_id=15198790
651,Tokaji Furmint 2012,Dobogó,Hungary,3.8,63,"64,170",https://www.vivino.com/dobogo-tokaji-furmint/w/1865809?year=2012&price_id=14650457
