index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
1613,Aro 2001,Muga,Spain,4.6,120,"229,179",https://www.vivino.com/muga-aro/w/7495?year=2001&price_id=16860341
1614,Pinot Noir 2022,Rabbit Ranch,New Zealand,3.8,120,"21,020",https://www.vivino.com/rabbit-ranch-pinot-noir/w/83461?year=2022&price_id=34079250
1615,Hello World Petit Verdot 2014,Finca La Estacada,Spain,3.2,120,"22,918",https://www.vivino.com/finca-la-estacada-hello-world-petit-verdot/w/3123972?year=2014&price_id=14650482
1616,Chianti Classico 2006,Coltibuono,Italy,3.8,120,"52,503",https://www.vivino.com/badia-a-coltibuono-chianti-classico/w/6279?year=2006&price_id=14541483
1617,Le Petit Mouton de Mouton Rothschild Pauillac 1996,Château Mouton Rothschild,France,4.5,120,"445,175",https://www.vivino.com/chateau-mouton-rothschild-le-petit-mouton-de-mouton-rothschild-pauillac/w/2716528?year=1996&price_id=29475644
1618,Keir 2017,Tua Rita,Italy,4.4,120,"243,764",https://www.vivino.com/tua-rita-keir-tuscany/w/6273800?year=2017&price_id=26106991
1619,Pinot Fin Bourgogne 2019,Domaine Arnoux-Lachaux,France,4.2,120,"2,077,484",https://www.vivino.com/domaine-arnoux-lachaux-pinot-fin-bourgogne/w/1557437?year=2019&price_id=35329565
1620,Ars Nova 2008,Bodega Tandem,Spain,3.6,120,"49,169",https://www.vivino.com/bodega-tandem-ars-nova/w/1166966?year=2008&price_id=5056591
1621,La Barbarine Côte-Rôtie 2009,Domaine Yves Gangloff,France,4.4,120,"587,379",https://www.vivino.com/domaine-gangloff-la-barbarine-cote-rotie/w/1107911?year=2009&price_id=26419045
1622,Core Campania Rosso 2017,Montevetrano,Italy,4.0,120,"50,003",https://www.vivino.com/montevetrano-core-campania-rosso/w/1509156?year=2017&price_id=28009246
1623,Côtes du Rhône 2010,Domaine de la Fertine,France,3.7,119,"22,918",https://www.vivino.com/domaine-de-la-fertine-cotes-du-rhone/w/1676922?year=2010&price_id=7953607
1624,La Pialade Côtes du Rhône Rouge 2009,Château Rayas,France,3.9,119,"2,522,659",https://www.vivino.com/chateau-rayas-la-pialade-cotes-du-rhone-rouge/w/87560?year=2009&price_id=35329463
1625,Lacryma Christi del Vesuvio Rosso 2006,Mastroberardino,Italy,3.9,119,"45,836",https://www.vivino.com/mastroberardino-lacryma-christi-del-vesuvio-rosso/w/9658?year=2006&price_id=14541731
1626,Narses 2021,La Bollina,Italy,4.1,119,"14,765",https://www.vivino.com/la-bollina-narses/w/8705039?year=2021&price_id=31809495
1627,Q Cabernet Sauvignon 2006,Zuccardi,Argentina,3.8,118,"50,003",https://www.vivino.com/zuccardi-q-cabernet-sauvignon/w/19427?year=2006&price_id=14650505
1628,Pauillac (Grand Cru Classé) 1978,Château Pichon Baron,France,4.4,118,"191,678",https://www.vivino.com/chateau-pichon-baron-pauillac-grand-cru-classe-pauillac-red-wine/w/79762?year=1978&price_id=30337974
1629,Pignacolusse Rosso 2013,Jermann,Italy,3.9,118,"46,224",https://www.vivino.com/jermann-pignacolusse-rosso/w/79514?year=2013&price_id=36485633
1630,Cavalcante Sangiovese di Toscana 2011,Baroncini,Italy,3.0,118,"18,751",https://www.vivino.com/baroncini-cavalcante-sangiovese-di-toscana/w/40594?year=2011&price_id=14539809
1631,Pessac-Léognan (Grand Cru Classé de Graves) 1995,Château La Tour Haut-Brion,France,4.4,118,"117,482",https://www.vivino.com/la-tour-haut-brion-pessac-leognan-grand-cru-classe-de-graves/w/2891538?year=1995&price_id=13617199
1632,Teorema Barbaresco 2016,Molino,Italy,4.0,118,"47,975",https://www.vivino.com/molino-104975-teorema-barbaresco/w/1159990?year=2016&price_id=36736920
1633,Reserve Bikavér 2009,Takler,Hungary,4.2,117,"95,005",https://www.vivino.com/takler-reserve-bikaver/w/100182?year=2009&price_id=9156608
1634,Pomerol 1989,Château Petit-Village,France,4.3,117,"148,392",https://www.vivino.com/chateau-petit-village-pomerol/w/1100006?year=1989&price_id=8387199
1635,Pessac-Léognan (Premier Grand Cru Classé) 1967,Château Haut-Brion,France,4.5,117,"525,559",https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=1967&price_id=134094
1636,Cabernet Franc - Merlot Mas Irene 2010,Parés Baltà,Spain,3.9,117,"87,505",https://www.vivino.com/pares-balta-cabernet-franc-merlot-mas-irene/w/1989615?year=2010&price_id=14650375
1637,La Pialade Côtes du Rhône Rouge 2007,Château Rayas,France,4.1,117,"2,349,531",https://www.vivino.com/chateau-rayas-la-pialade-cotes-du-rhone-rouge/w/87560?year=2007&price_id=35329484
1638,Margaux (Grand Cru Classé) 1983,Château d'Issan,France,4.3,117,"158,289",https://www.vivino.com/chateau-d-issan-margaux-grand-cru-classe/w/1168278?year=1983&price_id=23783887
1639,Cabernet Sauvignon 2020,Stonecroft,New Zealand,3.9,116,"37,101",https://www.vivino.com/stonecroft-cabernet-sauvignon/w/1193993?year=2020&price_id=35488252
1640,Côte-Rôtie La Landonne 1998,E. Guigal,France,4.6,116,"927,448",https://www.vivino.com/e-guigal-cote-rotie-la-landonne/w/36404?year=1998&price_id=7694945
1641,The Pilot Merlot - Cabernet 2019,Alpha Domus,New Zealand,3.7,115,"21,845",https://www.vivino.com/alpha-domus-the-pilot-merlot-cabernet/w/1435343?year=2019&price_id=33193569
1642,Tempranillo 2018,Hans Herzog - Hans Family Estate,New Zealand,3.9,115,"56,893",https://www.vivino.com/hans-herzog-hans-family-estate-tempranillo/w/1631495?year=2018&price_id=32224265
1643,Castillon - Côtes de Bordeaux 2015,Clos de la Vieille Eglise,France,4.1,115,"100,006",https://www.vivino.com/clos-de-la-vieille-eglise-castillon-cotes-de-bordeaux/w/1416680?year=2015&price_id=28089314
1644,Jorio Montepulciano d'Abruzzo 2010,Umani Ronchi,Italy,3.3,115,"41,669",https://www.vivino.com/umani-ronchi-jorio-montepulciano-d-abruzzo/w/3504?year=2010&price_id=2895297
1645,Selvaggia Rosso 2015,Molino,Italy,3.7,115,"19,009",https://www.vivino.com/molino-104975-selvaggia-rosso/w/2705083?year=2015&price_id=36485658
1646,Syrah 2008,Alpha Crucis,Australia,4.2,114,"166,676",https://www.vivino.com/alpha-crucis-syrah/w/1209270?year=2008&price_id=16083398
1647,Merlot Central Coast 2005,Cycles Gladiator,United States,3.3,114,"25,001",https://www.vivino.com/cycles-gladiator-merlot-central-coast/w/3220019?year=2005&price_id=14650397
1648,Enzo Bianchi Gran Cru 2002,Bodegas Bianchi,Argentina,4.4,114,"150,008",https://www.vivino.com/bodegas-bianchi-enzo-bianchi-gran-cru/w/13810?year=2002&price_id=2804773
1649,Tinto 2007,Zardoz,Chile,3.9,113,"75,004",https://www.vivino.com/zardoz-tinto/w/1142302?year=2007&price_id=2895024
1650,Prestige Moulin-a-Vent 2015,Georges Duboeuf,France,4.1,113,"64,587",https://www.vivino.com/georges-duboeuf-prestige-moulin-a-vent/w/2055892?year=2015&price_id=27135912
1651,Pomerol 1995,Château Nénin,France,4.1,113,"111,294",https://www.vivino.com/nenin-pomerol/w/82454?year=1995&price_id=13775484
1652,Cab Cult 2009,Cloof,South Africa,3.4,113,"37,460",https://www.vivino.com/cloof-cab-cult/w/1449930?year=2009&price_id=2754161
1653,Nero d'Avola 2008,Principi di Butera,Italy,3.6,113,"33,335",https://www.vivino.com/it-principi-di-butera-nero-d-avola/w/1561689?year=2008&price_id=2894945
1654,Talò Malvasia Nera 2021,San Marzano,Italy,3.9,113,"17,362",https://www.vivino.com/san-marzano-talo-malvasia-nera/w/1907933?year=2021&price_id=36485677
1655,Parallèle 45 Côtes du Rhône Rouge Bio 1945,Paul Jaboulet Aîné,France,3.7,113,"27,085",https://www.vivino.com/paul-jaboulet-aine-parallele-45-cotes-du-rhone-rouge-bio/w/1838039?year=1945&price_id=7944209
1656,Saint-Julien (Grand Cru Classé) 1986,Château Branaire-Ducru,France,4.2,112,"117,482",https://www.vivino.com/chateau-branaire-ducru-saint-julien-grand-cru-classe/w/1172272?year=1986&price_id=36831587
1657,Aroha Te Muna Road Vineyard Pinot Noir 2011,Craggy Range,New Zealand,4.2,112,"164,922",https://www.vivino.com/craggy-range-aroha-te-muna-road-vineyard-pinot-noir/w/1799825?year=2011&price_id=33535539
1658,Ars In Vitro 2011,Bodega Tandem,Spain,3.6,112,"35,835",https://www.vivino.com/bodega-tandem-ars-in-vitro/w/1158660?year=2011&price_id=5056588
1659,Pauillac (Grand Cru Classé) 1981,Château Pontet-Canet,France,3.6,112,"185,490",https://www.vivino.com/chateau-pontet-canet-pauillac-grand-cru-classe/w/14362?year=1981&price_id=15623240
1660,Margaux (Grand Cru Classé) 1981,Château Lascombes,France,4.2,112,"142,204",https://www.vivino.com/chateau-lascombes-margaux-grand-cru-classe/w/80045?year=1981&price_id=23720321
1661,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1985,Château La Gaffelière,France,4.3,111,"123,655",https://www.vivino.com/chateau-la-gaffeliere-saint-emilion-grand-cru-premier-grand-cru-classe/w/1153828?year=1985&price_id=24306178
1662,Winemaker's Special Reserve Red 2010,William Cole,Chile,3.6,111,"45,836",https://www.vivino.com/william-cole-winemaker-s-special-reserve-red/w/1711335?year=2010&price_id=2873784
1663,Pessac-Léognan (Grand Cru Classé) 1982,Château Smith Haut-Lafitte,France,4.2,111,"220,109",https://www.vivino.com/chateau-smith-haut-lafitte-pessac-leognan-grand-cru-classe/w/17656?year=1982&price_id=28323522
1664,Gold Label Coonawarra Cabernet Sauvignon 2015,Wolf Blass,Australia,3.7,110,"66,670",https://www.vivino.com/wolf-blass-gold-label-coonawarra-cabernet-sauvignon/w/1130912?year=2015&price_id=15541977
1665,Pinot Fin Bourgogne 2013,Domaine Arnoux-Lachaux,France,3.8,110,"958,358",https://www.vivino.com/domaine-arnoux-lachaux-pinot-fin-bourgogne/w/1557437?year=2013&price_id=35329551
1666,Pinot Noir 2021,Greywacke,New Zealand,4.0,110,"41,637",https://www.vivino.com/greywacke-kevin-judd-pinot-noir/w/1130869?year=2021&price_id=34771413
1667,Le Petit Panier Pinot Noir 2012,L . Tramier & Fils,France,3.4,110,"25,001",https://www.vivino.com/tramier-l-and-fils-le-petit-panier-pinot-noir/w/2163096?year=2012&price_id=7943991
1668,The Holy Trinity Red Blend 2018,Grant Burge,Australia,4.1,110,"65,837",https://www.vivino.com/grant-burge-the-holy-trinity-red-blend/w/11902?year=2018&price_id=27312450
1669,Solo Per Amore 2020,Sori della Sorba,Italy,4.0,109,"107,506",https://www.vivino.com/sori-della-sorba-solo-per-amore/w/10997082?year=2020&price_id=35684481
1670,Pomerol 1970,Vieux Château Certan,France,4.2,109,"296,783",https://www.vivino.com/vieux-chateau-certan-pomerol/w/81849?year=1970&price_id=36805709
1671,Saint-Julien (Grand Cru Classé) 1961,Château Léoville Las Cases,France,4.4,109,"1,180,946",https://www.vivino.com/chateau-leoville-las-cases-saint-julien-grand-cru-classe/w/81848?year=1961&price_id=24702964
1672,Saint-Émilion Grand Cru (Grand Cru Classé) 1999,Château Péby Faugères,France,4.3,109,"170,650",https://www.vivino.com/peby-faugeres-saint-emilion-grand-cru-grand-cru-classe/w/1643796?year=1999&price_id=31467006
1673,Calvert Pinot Noir 2021,Felton Road,New Zealand,4.2,109,"115,443",https://www.vivino.com/felton-road-calvert-pinot-noir/w/88319?year=2021&price_id=30876532
1674,Greenock Shiraz 2013,Kalleske,Australia,4.1,109,"116,673",https://www.vivino.com/kalleske-greenock-shiraz/w/16372?year=2013&price_id=21687586
1675,Perdera Monica di Sardegna 2021,Argiolas,Italy,3.8,109,"20,270",https://www.vivino.com/argiolas-perdera-monica-di-sardegna/w/82196?year=2021&price_id=36485605
1676,Les Forts de Latour Pauillac 1983,Château Latour,France,4.5,108,"216,400",https://www.vivino.com/fr-chateau-latour-les-forts-de-latour-pauillac/w/1168676?year=1983&price_id=24156703
1677,Riserva Ducale Chianti Classico 2002,Ruffino,Italy,3.7,107,"39,586",https://www.vivino.com/ruffino-riserva-ducale-chianti-classico/w/1137925?year=2002&price_id=2895201
1678,Reserva Cabernet Sauvignon 2005,Terrazas de los Andes,Argentina,3.5,107,"39,586",https://www.vivino.com/terrazas-de-los-andes-reserva-cabernet-sauvignon/w/3481?year=2005&price_id=2895088
1679,Higueruela Crianza 2010,Bodegas Tintoralba,Spain,3.6,106,"40,002",https://www.vivino.com/bodegas-tintoralba-higueruela-crianza/w/1383464?year=2010&price_id=7953650
1680,Higueruela Crianza 2012,Bodegas Tintoralba,Spain,3.6,106,"40,002",https://www.vivino.com/bodegas-tintoralba-higueruela-crianza/w/1383464?year=2012&price_id=22391437
1681,Preece Cabernet Sauvignon 2003,Mitchelton,Australia,3.4,106,"38,960",https://www.vivino.com/mitchelton-cabernet-sauvignon/w/1196664?year=2003&price_id=2895308
1682,Sirì d'Jermu Dogliani Superiore 2019,Pecchenino,Italy,3.8,106,"24,959",https://www.vivino.com/pecchenino-siri-d-jermu-dogliani-superiore/w/1109278?year=2019&price_id=36736910
1683,Pinot Noir 2012,Dom Bella,Portugal,4.3,106,"150,842",https://www.vivino.com/dom-bella-pinot-noir/w/1949419?year=2012&price_id=17601321
1684,Merlot - Cabernet 2018,Alpha Domus,New Zealand,3.6,106,"17,309",https://www.vivino.com/alpha-domus-merlot-cabernet/w/6696788?year=2018&price_id=35150969
1685,Reserva Malbec 2020,Finca el Origen,Argentina,4.0,106,"27,085",https://www.vivino.com/finca-el-origen-reserva-malbec/w/74577?year=2020&price_id=26456011
1686,Grand Vin Pauillac (Premier Grand Cru Classé) 1969,Château Latour,France,4.3,106,"828,515",https://www.vivino.com/fr-chateau-latour-grand-vin-pauillac-premier-grand-cru-classe/w/1655970?year=1969&price_id=4423290
1687,Preece Cabernet Sauvignon 2004,Mitchelton,Australia,3.4,106,"38,960",https://www.vivino.com/mitchelton-cabernet-sauvignon/w/1196664?year=2004&price_id=2894880
1688,Réserve des Chartrons Medoc 2000,Arnozan,France,3.3,106,"35,835",https://www.vivino.com/arnozan-reserve-medoc-des-chartrons/w/1317349?year=2000&price_id=14549941
1689,MacMuir Pinot Noir 2023,Felton Road,New Zealand,4.3,106,"126,164",https://www.vivino.com/felton-road-macmuir-pinot-noir/w/10746241?year=2023&price_id=36237482
1690,Les Forts de Latour Pauillac 1992,Château Latour,France,4.3,106,"259,686",https://www.vivino.com/fr-chateau-latour-les-forts-de-latour-pauillac/w/1168676?year=1992&price_id=34900
1691,Merlot Golden Triangle 2005,Stellenzicht,South Africa,3.6,105,"36,669",https://www.vivino.com/stellenzicht-merlot-golden-triangle/w/2158975?year=2005&price_id=2804789
1692,Finca Alvarez 2011,Alvarez Nölting,Spain,3.7,105,"91,672",https://www.vivino.com/alvarez-nolting-finca-alvarez/w/1812093?year=2011&price_id=2895342
1693,Taurasi Naturalis Historia Riserva 2000,Mastroberardino,Italy,4.2,105,"108,339",https://www.vivino.com/mastroberardino-taurasi-naturalis-historia-riserva/w/9253?year=2000&price_id=2804886
1694,Chateauneuf-du-Pape La Combe Des Fous 2010,Clos Saint Jean,France,4.5,105,"228,776",https://www.vivino.com/clos-saint-jean-chateauneuf-du-pape-la-combe-des-fous/w/1197525?year=2010&price_id=35878072
1695,Saint-Estèphe 1982,Château Haut-Marbuzet,France,4.3,105,"185,490",https://www.vivino.com/chateau-haut-marbuzet-saint-estephe/w/68514?year=1982&price_id=14626700
1696,Hermitage Monier de la Sizeranne 2001,M. Chapoutier,France,4.2,105,"111,294",https://www.vivino.com/m-chapoutier-hermitage-monier-de-la-sizeranne/w/20648?year=2001&price_id=35329533
1697,Terre Aquilane Rosso 2011,Castello di Semivicoli,Italy,3.6,105,"56,253",https://www.vivino.com/castello-di-semivicoli-terre-aquilane-rosso/w/1373365?year=2011&price_id=7943964
1698,S.L.V. Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,United States,4.4,104,"275,015",https://www.vivino.com/stag-s-leap-wine-cellars-s-l-v-cabernet-sauvignon/w/1107342?year=2006&price_id=4483910
1699,Maule Red Blend 2009,Urban,Chile,3.3,104,"27,085",https://www.vivino.com/cl-urban-maule-red-blend/w/1229663?year=2009&price_id=2873863
1700,Cabernet Sauvignon Garda 2020,S. Cristina,Italy,4.0,104,"29,515",https://www.vivino.com/it-s-cristina-cabernet-sauvignon-garda/w/1127734?year=2020&price_id=36485578
1701,Saint-Estèphe 1993,Château Phélan Ségur,France,4.1,104,"111,294",https://www.vivino.com/chateau-phelan-segur-saint-estephe/w/98166?year=1993&price_id=35422954
1702,Bessie’s Block Pinot Noir 2021,Mount Michael Wines,New Zealand,4.1,104,"37,101",https://www.vivino.com/mount-michael-wines-bessie-s-block-pinot-noir/w/1740069?year=2021&price_id=32222004
1703,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1975,Château Ausone,France,4.3,104,"389,528",https://www.vivino.com/ausone-saint-emilion-grand-cru-premier-grand-cru-classe/w/1152417?year=1975&price_id=837287
1704,La Réserve Châteauneuf-du-Pape 2010,Clos du Caillou,France,4.5,104,"408,077",https://www.vivino.com/clos-du-caillou-la-reserve-chateauneuf-du-pape/w/1601992?year=2010&price_id=35858129
1705,Le Bourg Saumur Champigny 2006,Clos Rougeard,France,4.6,104,"667,763",https://www.vivino.com/clos-rougeard-le-bourg-saumur-champigny/w/1101360?year=2006&price_id=26835761
1706,Gran Corte 2015,Flechas de los Andes,Argentina,4.2,104,"33,335",https://www.vivino.com/ar-flechas-de-los-andes-gran-corte/w/1154129?year=2015&price_id=25051534
1707,Brio Cabernet Sauvignon 2007,Indomita,Chile,3.4,103,"26,668",https://www.vivino.com/indomita-brio-cabernet-sauvignon/w/1676842?year=2007&price_id=14549785
1708,Classique 2002,Rupert & Rothschild,South Africa,4.0,103,"45,836",https://www.vivino.com/rupert-and-rothschild-vignerons-classique/w/1139111?year=2002&price_id=7944214
1709,Tinto 2009,Rupestre de Alpera,Spain,3.8,103,"62,503",https://www.vivino.com/rupestre-de-alpera-tinto/w/2283949?year=2009&price_id=14650515
1710,Old Vines Carignan (םךג הןמקד בשרןעמשמ) 2009,Carmel (יקבי כרמל),Israel,3.9,103,"53,336",https://www.vivino.com/il-carmel-old-vines-carignan-mkg-hnmqd-bshrn-mshm/w/2300569?year=2009&price_id=14650499
1711,Larose Red Blend 2015,Stonyridge Vineyard,New Zealand,4.4,103,"379,332",https://www.vivino.com/stonyridge-vineyard-larose-red-blend/w/1631901?year=2015&price_id=9340655
1712,Poison Creek Pinot Noir 2022,Maude,New Zealand,4.2,102,"41,224",https://www.vivino.com/maude-poison-creek-pinot-noir/w/8700233?year=2022&price_id=34528790
1713,Ermitage Ex-Voto 2013,E. Guigal,France,4.3,102,"302,971",https://www.vivino.com/e-guigal-ermitage-ex-voto/w/36464?year=2013&price_id=33430592
